School ID*,Alternate ID,Groups,Student First Name,Student Last Name,Preferred Name,Student Email,Academic Year,College Code,Primary Major Code,Primary Major Description,Cumulative GPA,Race or Ethnicity,Gender,Subject Code*,Subject Name,Class Code*,Class Section Code*,Class Description*,Credits Attempted,Grade,Score,Class Building/Room,Monday?*,Tuesday?*,Wednesday?*,Thursday?*,Friday?*,Saturday?*,Sunday?*,Start Time,End Time,Term ID*,Term Start Date*,Term End Date*,Professor First Name,Professor Last Name,Professor Email,Professor Unique ID,Professor Phone,Professor Office
11524015,jrichrd123,Womens Soccer,Jessie,Richardson,,jrichrd123@school.edu,Freshman,EN,,,4,,Female,ME,Mechanical Engineering,ME372,2,Dynamic Systems,,,,SERC 1059,Y,N,Y,N,Y,N,N,8:00,8:50,Fall 2023,08/01/2023,12/16/2023,Moises,Molina,Moises.Molina@fake.edu,mmolin123,,
11524015,jrichrd123,Womens Soccer,Jessie,Richardson,,jrichrd123@school.edu,Freshman,EN,,,3.245,,Female,ME,Mechanical Engineering,ME460,1,Energy Systems,,,,NL 2007,N,N,N,Y,N,N,N,8:00,9:15,Fall 2023,08/01/2023,12/16/2023,Melvin,Lewis,Melvin.Lewis@fake.edu,mlewis2353,,
11524015,jrichrd123,Womens Soccer,Jessie,Richardson,,jrichrd123@school.edu,Freshman,EN,,,,,Female,ME,Mechanical Engineering,ME460,4,Energy Systems,,,,SERC 2018,Y,N,N,N,N,N,N,14:00,16:50,Fall 2023,08/01/2023,12/16/2023,Kimberly,Lackey,Kimberly.Lackey@fake.edu,klack111,,
11524015,jrichrd123,Womens Soccer,Jessie,Richardson,,jrichrd123@school.edu,Freshman,EN,,,,,Female,ME,Mechanical Engineering,ME489,1,Mechanical Engr Design I,,,,NL 1000,N,N,N,Y,N,N,N,11:00,12:15,Fall 2023,08/01/2023,12/16/2023,Wei,Li,Wei.Li@fake.edu,weli93254,,
11524015,jrichrd123,Womens Soccer,Jessie,Richardson,,jrichrd123@school.edu,Freshman,EN,,,,,Female,ME,Mechanical Engineering,ME489,1,Mechanical Engr Design I,,,,RH 159,N,N,Y,N,N,N,N,14:00,16:50,Fall 2023,08/01/2023,12/16/2023,Wei,Li,Wei.Li@fake.edu,weli93254,,
11524015,jrichrd123,Womens Soccer,Jessie,Richardson,,jrichrd123@school.edu,Freshman,EN,,,,,Female,ME,Mechanical Engineering,ME491,1,Mechatronics,,,,SERC 2009,N,N,N,Y,N,N,N,9:30,10:45,Fall 2023,08/01/2023,12/16/2023,Casey,Lambert,Casey.Lambert@fake.edu,clamb634,,
11550822,mphel421,Mens Basketball,Matt,Phelps,,mphel421@school.edu,Senior,,,,,,Male,AC,Culverhouse Sch Accountancy,AC311,2,Fin Rptg & Anyls Bus Actvts II,,,,AB 20,N,N,N,Y,N,N,N,11:00,12:15,Fall 2023,08/01/2023,12/16/2023,Christopher,Whaley,Christopher+Whaley@fake.edu,cwale999,,
11550822,mphel421,Mens Basketball,Matt,Phelps,,mphel421@school.edu,Senior,,,,,,Male,AC,Culverhouse Sch Accountancy,AC389,2,Accounting Information Systems,,,,BL 4,N,N,N,Y,N,N,N,9:30,10:45,Fall 2023,08/01/2023,12/16/2023,Gary,Cramer,Gary.Cramer@fake.edu,gcrame131,,
11550822,mphel421,Mens Basketball,Matt,Phelps,,mphel421@school.edu,Senior,,,,,,Male,AC,Culverhouse Sch Accountancy,AC471,320,Taxation - Transactions & Orgs,,,,BD 310,Y,N,Y,N,N,N,N,17:00,18:15,Fall 2023,08/01/2023,12/16/2023,Stacey,Robinson,Stacey.Robinson@fake.edu,srob543,,
11550822,mphel421,Mens Basketball,Matt,Phelps,,mphel421@school.edu,Senior,,,,,,Male,COM,Communication Studies,COM220,2,Interpersonal Communication,,,,PH 327,Y,N,Y,N,Y,N,N,9:00,9:50,Fall 2023,08/01/2023,12/16/2023,Rebecca,Jones,Rebecca.Jones@fake.edu,rjone623,,
11550822,mphel421,Mens Basketball,Matt,Phelps,,mphel421@school.edu,Senior,,,,,,Male,FI,Finance,FI302,321,Business Finance,,,,AB 30,N,N,N,Y,N,N,N,20:00,21:15,Fall 2023,08/01/2023,12/16/2023,Susan,Fant,Susan.Fant@fake.edu,sfant111,,
11550822,mphel421,Mens Basketball,Matt,Phelps,,mphel421@school.edu,Senior,,,,,,Male,FI,Finance,FI302,6,Business Finance,,,,BD 310,Y,N,N,N,N,N,N,13:00,13:50,Fall 2023,08/01/2023,12/16/2023,Shanlin,Pan,Shanlin.Pan@fake.edu,span825,,
11551639,nhein912,Womens Soccer;Womens Track & Field,Nicole,Heinel,Nikki,nhein912@school.edu,Graduate,,,,,,Female,BSC,Biological Sciences,BSC310,1,Microbiology,,,,NL 2007,N,N,N,Y,N,N,N,11:00,12:15,Fall 2023,08/01/2023,12/16/2023,Michael,Munther,Michael.Munther@fake.edu,mmunt023,,
11551639,nhein912,Womens Soccer;Womens Track & Field,Nicole,Heinel,Nikki,nhein912@school.edu,Graduate,,,,,,Female,BSC,Biological Sciences,BSC310,1,Microbiology,,,,NL 2007,N,N,Y,N,N,N,N,17:00,18:20,Fall 2023,08/01/2023,12/16/2023,Michael,Munther,Michael.Munther@fake.edu,mmunt023,,
11551639,nhein912,Womens Soccer;Womens Track & Field,Nicole,Heinel,Nikki,nhein912@school.edu,Graduate,,,,,,Female,BSC,Biological Sciences,BSC312,2,Microbiology Lab,,,,NT 210,N,N,N,Y,N,N,N,15:15,16:55,Fall 2023,08/01/2023,12/16/2023,Rachael,Smallwood,Rachael.Smallwood@fake.edu,rmsall184,,
